Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Random Forest,PR,0.8356589147286821,0.8690308592473788,0.8356589147286821,0.8202001732503295,0.8405797101449275,0.871077504725898,0.8405797101449275,0.8232220145583318,0.6618705035971223,0.6540988799869195,0.6618705035971223,0.5841648355411011
SVM,PR,0.737984496124031,0.7560365216531819,0.737984496124031,0.702428083704864,0.7681159420289855,0.7945509500961722,0.7681159420289855,0.7309250108138576,0.60431654676259,0.5172126035435388,0.60431654676259,0.522170967544901
XGBoost,PR,0.9410852713178295,0.9453649211743533,0.9410852713178295,0.9397940548102497,0.9420289855072463,0.9466207490314249,0.9420289855072463,0.9403964097910814,,,,
CatBoost,PR,0.9410852713178295,0.9453649211743533,0.9410852713178295,0.9397940548102497,0.9420289855072463,0.9466207490314249,0.9420289855072463,0.9403964097910814,0.6546762589928058,0.6299934864905897,0.6546762589928058,0.6206657394251351
Naive Bayes,HER2,0.21550387596899226,0.7893353293586228,0.21550387596899226,0.1276120812694148,0.13043478260869565,0.89769820971867,0.13043478260869565,0.052926847272458846,0.22302158273381295,0.4922451649070354,0.22302158273381295,0.126023319275614
Decision Tree,HER2,0.8372093023255814,0.8642124986222859,0.8372093023255814,0.7783186106604171,0.9057971014492754,0.9148684916800859,0.9057971014492754,0.8759523576323655,0.7841726618705036,0.6149267636250713,0.7841726618705036,0.6893130656764911
KNN,HER2,0.8155038759689922,0.7523437458866641,0.8155038759689922,0.7511710159853947,0.8913043478260869,0.903205331640749,0.8913043478260869,0.8464979411270971,0.7769784172661871,0.613700344072568,0.7769784172661871,0.6857542306235983
Logistic Regression,HER2,0.8186046511627907,0.6701135749053542,0.8186046511627907,0.7369535478498781,0.8840579710144928,0.7815584961142618,0.8840579710144928,0.8296544035674471,0.7841726618705036,0.6149267636250713,0.7841726618705036,0.6893130656764911
Random Forest,HER2,0.8434108527131783,0.8685547380485822,0.8434108527131783,0.7907887747146203,0.9057971014492754,0.9148684916800859,0.9057971014492754,0.8759523576323655,0.7841726618705036,0.6149267636250713,0.7841726618705036,0.6893130656764911
SVM,HER2,0.8310077519379845,0.8599247928151582,0.8310077519379845,0.7652327777223276,0.8913043478260869,0.903205331640749,0.8913043478260869,0.8464979411270971,0.7841726618705036,0.7260935776925904,0.7841726618705036,0.7020310580803649
XGBoost,HER2,0.8744186046511628,0.8911215488601214,0.8744186046511628,0.8456496865175475,0.9202898550724637,0.9159515117032541,0.9202898550724637,0.906112161310649,,,,
CatBoost,HER2,0.8744186046511628,0.8911215488601214,0.8744186046511628,0.8456496865175475,0.9202898550724637,0.9159515117032541,0.9202898550724637,0.906112161310649,0.7913669064748201,0.8352100927953289,0.7913669064748201,0.7060281512285275
Naive Bayes,Mol Subtype,0.2062015503875969,0.6291283142043199,0.2062015503875969,0.11370547430922044,0.17391304347826086,0.7303031325951931,0.17391304347826086,0.08096368174002996,0.16546762589928057,0.34091664721320286,0.16546762589928057,0.07795743389504521
Decision Tree,Mol Subtype,0.6961240310077519,0.7361920790030666,0.6961240310077519,0.615731141887771,0.7463768115942029,0.7384057971014493,0.7463768115942029,0.6844885187276492,0.5611510791366906,0.4820332710209785,0.5611510791366906,0.45800285879670644
KNN,Mol Subtype,0.6682170542635659,0.6056727360134607,0.6682170542635659,0.5767521909683158,0.7246376811594203,0.6483681608807998,0.7246376811594203,0.6448498964803312,0.5899280575539568,0.42424242424242425,0.5899280575539568,0.467751380291116
Logistic Regression,Mol Subtype,0.6465116279069767,0.4880595930232558,0.6465116279069767,0.5136018402538848,0.6884057971014492,0.5736359761295823,0.6884057971014492,0.573754248416917,0.5971223021582733,0.3591387759357731,0.5971223021582733,0.4485172043360786
Random Forest,Mol Subtype,0.896124031007752,0.9105035556409764,0.896124031007752,0.8909979350987036,0.9202898550724637,0.9285616625649439,0.9202898550724637,0.9144253688929606,0.5899280575539568,0.3948360108905357,0.5899280575539568,0.45953237410071945
SVM,Mol Subtype,0.7302325581395349,0.7881168053775999,0.7302325581395349,0.6709382670626847,0.7753623188405797,0.8152173913043478,0.7753623188405797,0.7263179111005198,0.5611510791366906,0.3821553444267487,0.5611510791366906,0.44139548174544474
XGBoost,Mol Subtype,0.8604651162790697,0.8837914023960535,0.8604651162790697,0.849632054790474,0.8695652173913043,0.8903424393997691,0.8695652173913043,0.8542347949956645,,,,
CatBoost,Mol Subtype,0.8604651162790697,0.8837914023960535,0.8604651162790697,0.849632054790474,0.8695652173913043,0.8903424393997691,0.8695652173913043,0.8542347949956645,0.5683453237410072,0.4453009021354345,0.5683453237410072,0.46858731196860687
