Algorithm,Subtype,train_acc,val_acc,train_prec,val_prec,train_rec,val_rec,train_f1,val_f1,test_acc,test_prec,test_rec,test_f1,test_aucroc
Decision Tree,ER,0.7484472049689441,0.7069767441860465,0.7764427750874392,0.7129364641807003,0.7484472049689441,0.7069767441860465,0.7431362754327653,0.7042989776105402,0.6325581395348837,0.6453823512269045,0.6325581395348837,0.6161713670270055,0.622896061079299
Decision Tree,PR,0.7284172661870504,0.5752688172043011,0.730626435122555,0.576729204888967,0.7284172661870504,0.5752688172043011,0.7275220189408652,0.5751828765111497,0.489247311827957,0.488960113960114,0.489247311827957,0.4859038142620232,0.5012718233321771
Decision Tree,HER2,0.7719546742209632,0.6610169491525424,0.787090175614594,0.6624607101499406,0.7719546742209632,0.6610169491525424,0.7695110033223679,0.658655383631399,0.6949152542372882,0.700977230131601,0.6949152542372882,0.6917435262369923,0.697808908045977
Decision Tree,Mol Subtype,0.5742397137745975,0.48257372654155495,0.6123536748989653,0.4960152358770203,0.5742397137745975,0.48257372654155495,0.5609050282426304,0.46369475189850523,0.5013404825737265,0.5221287784747111,0.5013404825737265,0.48371872109136205,
XGBoost,ER,0.8975155279503105,0.7395348837209302,0.9076265741043162,0.743200407737141,0.8975155279503105,0.7395348837209302,0.8970693397496298,0.7381853822912364,0.7348837209302326,0.7433271571802109,0.7348837209302326,0.7302836426007254,0.7658337671351725
XGBoost,PR,0.9568345323741008,0.5752688172043011,0.9576680523500588,0.5773081201334817,0.9568345323741008,0.5752688172043011,0.9568043400855654,0.5749372550007135,0.5967741935483871,0.5987028301886792,0.5967741935483871,0.5947947831643768,0.628049485489652
XGBoost,HER2,0.9348441926345609,0.6991525423728814,0.9369349734304586,0.6995379184148752,0.9348441926345609,0.6991525423728814,0.9348065342484716,0.6983217870348024,0.788135593220339,0.7892243408662901,0.788135593220339,0.7877694680934156,0.8209770114942528
XGBoost,Mol Subtype,0.8899821109123435,0.646112600536193,0.8922915208081903,0.6422262416728315,0.8899821109123435,0.646112600536193,0.8884194421279747,0.6387511271430915,0.6300268096514745,0.6298254784849959,0.6300268096514745,0.6262231022939891,
SVM,ER,0.9301242236024845,0.7906976744186046,0.9308868981301262,0.7908428216624197,0.9301242236024845,0.7906976744186046,0.9301264138808384,0.7906161086375645,0.7488372093023256,0.7505488372093023,0.7488372093023256,0.7473202071526285,0.8407079646017699
SVM,PR,0.908273381294964,0.6344086021505376,0.9085076155493517,0.6392982509229558,0.908273381294964,0.6344086021505376,0.9082463650689523,0.6332228545379134,0.6774193548387096,0.67816091954023,0.6774193548387096,0.6770833333333334,0.7126257370794312
SVM,HER2,0.943342776203966,0.7966101694915254,0.944822814281475,0.796578438647192,0.943342776203966,0.7966101694915254,0.9433245866672196,0.7965370024181717,0.8305084745762712,0.8315102148257556,0.8305084745762712,0.8304719541010667,0.9239224137931035
SVM,Mol Subtype,0.9382826475849732,0.8310991957104558,0.9383401422783422,0.828797175880227,0.9382826475849732,0.8310991957104558,0.937812476310421,0.8281522310026838,0.8203753351206434,0.816799932529129,0.8203753351206434,0.8180946999185649,
