train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1,Algorithm,classification
0.7323688969258589,0.7628880792657987,0.7323688969258589,0.6867367961362038,0.75,0.8055555555555556,0.75,0.7071428571428571,0.6810810810810811,0.6648162099381612,0.6810810810810811,0.6244721501687446,SVM,PR
0.7757685352622061,0.740226265310223,0.7757685352622061,0.7543132150318058,0.7880434782608695,0.7400038819875776,0.7880434782608695,0.7591728842279993,0.7297297297297297,0.7068648648648649,0.7297297297297297,0.7178331652853946,Naive Bayes,HER2
0.8372513562386981,0.8642760387820876,0.8372513562386981,0.7792291725033746,0.8641304347826086,0.8832132388861749,0.8641304347826086,0.8233595805183878,0.8054054054054054,0.6890690690690691,0.8054054054054054,0.7427091762421103,Decision Tree,HER2
0.8227848101265823,0.8041054786081911,0.8227848101265823,0.754009190439012,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,0.827027027027027,0.6921856639247944,0.827027027027027,0.753622261314569,KNN,HER2
0.8173598553345389,0.6680771331124984,0.8173598553345389,0.7352172231068888,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,0.827027027027027,0.6921856639247944,0.827027027027027,0.753622261314569,Logistic Regression,HER2
0.9168173598553345,0.9245008968968097,0.9168173598553345,0.9065671481527579,0.9347826086956522,0.9395256916996048,0.9347826086956522,0.9281870385561936,0.8216216216216217,0.7363520979543079,0.8216216216216217,0.7600069152307958,Random Forest,HER2
0.8173598553345389,0.6680771331124984,0.8173598553345389,0.7352172231068888,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,0.8324324324324325,0.6929437545653763,0.8324324324324325,0.7563102925934785,SVM,HER2
0.6130198915009042,0.557753188909449,0.6130198915009042,0.5566073267586872,0.592391304347826,0.46640953716690037,0.592391304347826,0.521904811733724,0.5297297297297298,0.46507112375533427,0.5297297297297298,0.46708782033976276,Naive Bayes,Mol Subtype
0.6763110307414105,0.710710969300481,0.6763110307414105,0.5824734563230873,0.6739130434782609,0.5262155528173834,0.6739130434782609,0.5768719057318998,0.5297297297297298,0.38759330759330757,0.5297297297297298,0.44387939871810833,Decision Tree,Mol Subtype
0.6528028933092225,0.5349718192737688,0.6528028933092225,0.5217606484845361,0.6521739130434783,0.49016563146997927,0.6521739130434783,0.5410732188913465,0.6108108108108108,0.37511750881316097,0.6108108108108108,0.4647920647920648,KNN,Mol Subtype
0.6654611211573237,0.7326663114215746,0.6654611211573237,0.5488784482300999,0.6793478260869565,0.7186524141244296,0.6793478260869565,0.5646836966305327,0.6108108108108108,0.4543222998279178,0.6108108108108108,0.484145239609157,Logistic Regression,Mol Subtype
0.9801084990958409,0.9806982740552634,0.9801084990958409,0.9799437886065298,0.9891304347826086,0.9893057503506312,0.9891304347826086,0.9890566296004121,0.6054054054054054,0.4613943488943489,0.6054054054054054,0.48788736480283695,Random Forest,Mol Subtype
0.650994575045208,0.4237939367382909,0.650994575045208,0.5133801687103503,0.6630434782608695,0.43962665406427215,0.6630434782608695,0.5287013356067064,0.6108108108108108,0.3730898466033601,0.6108108108108108,0.4632323598766552,SVM,Mol Subtype
