Algorithm,Subtype,train_acc,val_acc,train_prec,val_prec,train_rec,val_rec,train_f1,val_f1,test_acc,test_prec,test_rec,test_f1,test_aucroc
Decision Tree,HER2,0.918625678119349,0.7880434782608695,0.9181588490805431,0.7853072651985695,0.918625678119349,0.7880434782608695,0.912113800182893,0.7866513357834886,0.6864864864864865,0.7156722581380115,0.6864864864864865,0.7002213642213642,0.5020946795140343
Decision Tree,Mol Subtype,0.7269439421338155,0.592391304347826,0.7466282314015755,0.48708915631469984,0.7269439421338155,0.592391304347826,0.6626176169877148,0.5242923528629195,0.5675675675675675,0.43856499356499357,0.5675675675675675,0.4718423812729862,
Random Forest,ER,0.8227848101265823,0.7445652173913043,0.8567049050632911,0.6749394673123487,0.8227848101265823,0.7445652173913043,0.7839203749775967,0.6663971248876909,0.7135135135135136,0.6179374905631889,0.7135135135135136,0.6210208190366253,0.5380450687737782
Random Forest,PR,0.9909584086799277,0.592391304347826,0.9909547389494264,0.5691922179499819,0.9909584086799277,0.592391304347826,0.9909530146530559,0.5759580683966317,0.5783783783783784,0.527109659995566,0.5783783783783784,0.5412132132132133,0.47391528925619836
Random Forest,HER2,0.9981916817359855,0.8206521739130435,0.998195673608533,0.7350543478260869,0.9981916817359855,0.8206521739130435,0.9981881825027102,0.7587460130938392,0.8216216216216217,0.7534249333132015,0.8216216216216217,0.768054541027514,0.4503560955173858
Random Forest,Mol Subtype,0.6528028933092225,0.657608695652174,0.5085148488856361,0.4384057971014492,0.6528028933092225,0.657608695652174,0.5180469250501767,0.5260869565217391,0.6054054054054054,0.3717978848413631,0.6054054054054054,0.4606788606788607,
XGBoost,ER,1.0,0.6956521739130435,1.0,0.6401041666666667,1.0,0.6956521739130435,1.0,0.6590604026845637,0.6918918918918919,0.6210390030749312,0.6918918918918919,0.6351035131621583,0.49034240561896403
XGBoost,PR,0.9981916817359855,0.6032608695652174,0.9981967048422744,0.5759097070169952,0.9981916817359855,0.6032608695652174,0.998190602930611,0.5819406786248269,0.6216216216216216,0.5831065965294153,0.6216216216216216,0.5882682682682683,0.4825671487603305
XGBoost,HER2,1.0,0.7880434782608695,1.0,0.7306677018633541,1.0,0.7880434782608695,1.0,0.753585049580473,0.8,0.7122881355932202,0.8,0.7479742815090247,0.5362379555927943
XGBoost,Mol Subtype,1.0,0.6195652173913043,1.0,0.5320239405613648,1.0,0.6195652173913043,1.0,0.5575435611836016,0.5135135135135135,0.36599508599508596,0.5135135135135135,0.4213823120297939,
SVM,ER,0.7667269439421338,0.75,0.8221454047735607,0.5625,0.7667269439421338,0.75,0.6814684909359432,0.6428571428571428,0.7243243243243244,0.524645726807889,0.7243243243243244,0.6085232567991189,
SVM,PR,0.6998191681735986,0.6521739130434783,0.7947334883320416,0.6570591108939913,0.6998191681735986,0.6521739130434783,0.6157737970842959,0.5424990207598903,0.6486486486486487,0.5781744826688647,0.6486486486486487,0.5411032588007482,
SVM,HER2,0.8191681735985533,0.8315217391304348,0.8519275624393952,0.6914284026465028,0.8191681735985533,0.8315217391304348,0.7395306904848782,0.7550316088246679,0.8324324324324325,0.6929437545653763,0.8324324324324325,0.7563102925934785,
SVM,Mol Subtype,0.7396021699819169,0.6141304347826086,0.8020241699347821,0.46376811594202894,0.7396021699819169,0.6141304347826086,0.6853187711489819,0.520839580209895,0.5513513513513514,0.42101445282168176,0.5513513513513514,0.4541702002307564,
